,station,netvec,datevec,freq,ipi,peakcounts,propcounts
0,AX,AX,2006-11-01,18.4,30.5,69.0,0.46786004882
1,AX,AX,2006-11-01,19.2,24.5,1165.0,7.8993761866
2,AX,AX,2006-12-01,19.2,25.5,1755.0,4.74619357979
3,AX,AX,2007-01-01,19.2,27.5,1490.0,4.81748520806
4,AX,AX,2007-02-01,19.2,27.5,1213.0,6.26873385013
5,AX,AX,2007-03-01,18.4,32.5,92.0,1.08388312912
6,AX,AX,2007-03-01,18.8,28.5,497.0,5.85532516494
7,AX,AX,2007-11-01,18.8,34.5,14.0,0.237328360739
8,AX,AX,2007-11-01,19.2,32.5,14.0,0.237328360739
9,AX,AX,2007-11-01,23.6,27.5,18.0,0.305136463807
10,AX,AX,2007-11-01,19.2,26.5,256.0,4.33971859637
11,AX,AX,2007-11-01,22.8,26.5,26.0,0.440752669944
12,AX,AX,2007-11-01,18.8,20.5,13.0,0.220376334972
13,AX,AX,2007-11-01,19.2,17.5,23.0,0.389896592643
14,AX,AX,2007-11-01,22.4,12.5,21.0,0.355992541109
15,AX,AX,2007-11-01,23.2,12.5,27.0,0.457704695711
16,AX,AX,2007-12-01,18.4,31.5,98.0,0.400703275136
17,AX,AX,2007-12-01,19.2,25.5,1328.0,5.42993825899
18,AX,AX,2008-01-01,18.8,26.5,848.0,5.19767085504
19,AX,AX,2008-01-01,22.4,11.5,111.0,0.680355501073
20,AX,AX,2008-02-01,18.0,32.5,47.0,0.787006028131
21,AX,AX,2008-02-01,18.8,27.5,338.0,5.6597454789
22,AX,AX,2008-02-01,18.8,25.5,216.0,3.61687876758
23,AX,AX,2008-02-01,23.2,25.5,19.0,0.318151373074
24,AX,AX,2008-03-01,19.6,34.5,7.0,0.256128796195
25,AX,AX,2008-03-01,18.0,33.5,19.0,0.695206732528
26,AX,AX,2008-03-01,18.8,33.5,18.0,0.658616904501
27,AX,AX,2008-03-01,23.6,29.5,7.0,0.256128796195
28,AX,AX,2008-03-01,18.8,28.5,134.0,4.90303695573
29,AX,AX,2008-03-01,23.2,26.5,8.0,0.292718624222
30,AX,AX,2008-03-01,22.4,23.5,9.0,0.32930845225
31,AX,AX,2008-03-01,23.6,23.5,6.0,0.219538968167
32,AX,AX,2008-03-01,23.6,21.5,7.0,0.256128796195
33,AX,AX,2008-03-01,23.6,19.5,8.0,0.292718624222
34,AX,AX,2008-03-01,24.0,17.5,6.0,0.219538968167
35,AX,AX,2008-03-01,22.0,12.5,7.0,0.256128796195
36,AX,AX,2008-03-01,22.8,11.5,7.0,0.256128796195
37,AX,AX,2008-11-01,18.8,27.5,989.0,3.44407299067
38,AX,AX,2008-11-01,23.2,27.5,158.0,0.550215907508
39,AX,AX,2008-11-01,18.8,16.5,267.0,0.929795236105
40,AX,AX,2008-11-01,22.8,11.5,358.0,1.2466917398
41,AX,AX,2008-12-01,19.2,26.5,1293.0,5.9396389361
42,AX,AX,2008-12-01,22.4,12.5,56.0,0.25724654325
43,AX,AX,2008-12-01,23.2,12.5,69.0,0.31696449079
44,AX,AX,2009-01-01,19.2,27.5,1114.0,5.99537161617
